X;tag;Ammonia;Apple;Apricot;Berry;Blue.Cheese;Blueberry;Butter;Cheese;Chemical;Chestnut;Citrus;Coffee;Diesel;Earthy;Flowery;Grape;Grapefruit;Honey;Lavender;Lemon;Lime;Mango;Menthol;Mint;Nutty;Orange;Peach;Pear;Pepper;Pine;Pineapple;Plum;Pungent;Rose;Sage;Skunk;Spicy.Herbal;Strawberry;Sweet;Tar;Tea;Tobacco;Tree;Fruit;Tropical;Vanilla;Violet;Woody;categoria.x;Aroused;Creative;Energetic;Euphoric;Focused;Giggly;Happy;Hungry;Relaxed;Sleepy;Talkative;Tingly;Uplifted;Anxious;Dizzy;Dry.Eyes;Dry.Mouth;Headache;Paranoid;categoria.y;Delta9.THC;CBD;CBN;CBG;CBC;THCV;CBDa;Delta8.THC;CBGa;THCa;Delta9.THCa;D.Limonene;Beta.Ocimene;Beta.Myrcene;Beta.Pinene;Linalool;Alpha.Pinene;Caryophyllene;Camphene;Carene;Eucalyptol;Terpinolene;Geraniol;TransNerolidol;Guaiol;CaryophylleneOxide;Alpha.Bisabolol;Beta.Caryophyllene;p.Cymene;Alpha.Terpinene;Gamma.Terpinene;mistery.Terpinene;Humulene
52;do-si-dos;0.01980198;0.00990099;0.00990099;0.148514851;0;0.01980198;0.02970297;0.02970297;0.04950495;0.00990099;0.128712871;0.03960396;0.158415842;0.663366337;0.158415842;0.069306931;0;0.00990099;0.04950495;0.059405941;0.02970297;0.01980198;0.01980198;0.108910891;0.04950495;0.02970297;0.00990099;0.00990099;0.02970297;0.188118812;0.00990099;0.01980198;0.336633663;0;0.00990099;0.138613861;0.059405941;0.00990099;0.386138614;0.00990099;0.01980198;0;0.059405941;0.059405941;0.03960396;0.059405941;0.01980198;0.138613861;Indica;0.100671141;0.181208054;0.046979866;0.604026846;0.134228188;0.248322148;0.483221477;0.44295302;0.906040268;0.55704698;0.120805369;0.241610738;0.355704698;0.033557047;0.093959732;0.147651007;0.248322148;0.013422819;0.046979866;Indica;0.56;0.01;0.01;0.14;0.21;0.01;0.26;0.01;0.71;23.08;NA;0.29;NA;0.14;0.07;0.16;0.05;NA;0.03;NA;NA;0.01;NA;NA;NA;NA;0.03;0.22;NA;NA;NA;NA;0.04
53;double-tangie-banana;0;0.02;0.02;0.04;0;0;0.04;0;0;0;0.58;0;0.04;0.12;0.1;0.06;0.06;0.02;0;0.1;0.08;0.02;0;0;0.02;0.44;0.08;0.02;0;0.16;0;0;0.04;0;0;0;0.04;0;0.52;0;0;0;0.08;0.08;0.46;0.02;0.02;0.04;Hybrid;0.106060606;0.393939394;0.348484848;0.484848485;0.257575758;0.257575758;0.681818182;0.212121212;0.606060606;0.090909091;0.363636364;0.136363636;0.666666667;0.03030303;0;0.196969697;0.151515152;0.03030303;0.015151515;Hybrid;0.5;0.01;0.01;0.07;0.01;0.01;0.4;0.01;0.41;17.92;NA;0.03;NA;0.71;0.06;0.06;0.14;NA;0.02;NA;NA;0.01;NA;NA;0.05;NA;0.03;0.04;NA;NA;NA;NA;NA
54;dr-grinspoon;0;0;0;0.0625;0;0;0;0;0;0;0.4375;0.25;0;0.1875;0.1875;0;0;0.125;0.0625;0.0625;0;0;0;0;0;0.0625;0;0;0.0625;0.125;0;0;0.125;0;0;0.0625;0.1875;0;0.3125;0;0.0625;0;0;0;0.125;0;0.0625;0.125;Sativa;0.151515152;0.636363636;0.818181818;0.636363636;0.484848485;0.303030303;0.606060606;0.181818182;0.303030303;0;0.545454545;0.181818182;0.757575758;0.060606061;0.060606061;0.090909091;0.272727273;0.03030303;0;Sativa;12.3;0;0.03;0.92;0.05;0.02;NA;NA;NA;NA;NA;0.12;0.15;0.08;0.05;0.01;0.04;0.27;NA;0.02;NA;0.38;NA;NA;NA;NA;0.01;NA;NA;0.01;0.01;NA;0.11
55;dutch-treat-haze;0;0.055555556;0;0.166666667;0;0;0;0;0;0;0.388888889;0;0.055555556;0.555555556;0.222222222;0.111111111;0.111111111;0.055555556;0;0.111111111;0.055555556;0.055555556;0;0;0;0;0;0;0.111111111;0.111111111;0;0;0.166666667;0;0;0.055555556;0.111111111;0;0.611111111;0;0;0;0;0;0.055555556;0;0;0.166666667;Hybrid;0.08;0.52;0.48;0.52;0.36;0.4;0.68;0.24;0.64;0.08;0.4;0.08;0.64;0;0.04;0.04;0.2;0;0;Hybrid;17.5;0.27;0.21;0.89;0.39;0.97;NA;NA;NA;NA;NA;0.07;0.32;0.42;0.1;0.01;0.06;0.09;NA;0.03;NA;0.28;NA;0.01;0.02;0.01;0.02;NA;0.01;NA;0.01;NA;0.04
56;east-coast-sour-diesel;0.007407407;0;0;0;0;0;0;0;0.051851852;0;0.051851852;0;0.911111111;0.074074074;0.022222222;0;0;0;0;0.044444444;0.007407407;0;0;0;0;0.014814815;0;0;0.022222222;0.014814815;0;0;0.140740741;0;0;0.037037037;0.02962963;0;0.066666667;0;0;0;0;0;0.014814815;0.007407407;0;0.014814815;Sativa;0.134831461;0.393258427;0.595505618;0.550561798;0.382022472;0.213483146;0.561797753;0.303370787;0.292134831;0.101123596;0.337078652;0.168539326;0.471910112;0.056179775;0.134831461;0.146067416;0.269662921;0.06741573;0.112359551;Sativa;16;0.015;0.065;0.59;0.135;0.22;NA;NA;NA;NA;NA;0.195;NA;0.31;0.04;0.095;0.025;0.155;0.01;NA;NA;NA;NA;NA;0.035;NA;0.02;NA;NA;NA;NA;NA;0.08
57;exodus-cheese;0;0;0;0.052631579;0.063157895;0.042105263;0;0.936842105;0;0.010526316;0.031578947;0;0.042105263;0.168421053;0.031578947;0.031578947;0.021052632;0;0;0.010526316;0;0;0;0;0.031578947;0;0;0;0;0.042105263;0;0.010526316;0.252631579;0.021052632;0.010526316;0.063157895;0.042105263;0.010526316;0.157894737;0;0.021052632;0;0;0;0.031578947;0;0.010526316;0.021052632;Hybrid;0.098591549;0.338028169;0.295774648;0.577464789;0.309859155;0.197183099;0.647887324;0.338028169;0.690140845;0.295774648;0.281690141;0.183098592;0.478873239;0.014084507;0.084507042;0.281690141;0.23943662;0;0.028169014;Hybrid;23.3;0.49;0.29;1.13;0.43;0.17;NA;NA;NA;NA;NA;0.27;NA;0.42;0.13;0.18;0.08;0.97;NA;NA;0.01;0.01;NA;0.17;NA;NA;0.19;NA;NA;NA;NA;NA;0.43
58;extreme-cream;0;0;0;0;0;0.181818182;0.545454545;0.090909091;0;0;0;0;0.090909091;0.454545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.090909091;0;0;0.181818182;0;0;0.181818182;0;0;0.363636364;0;0;0;0.090909091;0.090909091;0;0.090909091;0;0;Indica;0;0.214285714;0.071428571;0.357142857;0.214285714;0.285714286;0.5;0.5;0.928571429;0.5;0.214285714;0.071428571;0.285714286;0;0.142857143;0.071428571;0.5;0;0;Indica;25.6;0.175;0.125;0.945;0.57;0.115;NA;NA;NA;NA;NA;0.725;NA;0.31;0.13;0.08;0.06;0.23;0.005;NA;NA;NA;NA;NA;NA;NA;0.01;NA;NA;NA;NA;NA;0.035
59;flo-og;0;0;0;0.2;0;0;0;0;0;0;0.1;0;0;0.5;0.2;0.1;0;0;0;0;0.1;0;0;0.1;0;0.1;0;0;0;0.1;0;0;0.5;0;0;0.2;0.2;0;0.6;0;0;0;0.1;0.1;0;0;0;0.2;Indica;0.2;0.133333333;0.066666667;0.666666667;0.133333333;0.066666667;0.466666667;0.266666667;0.733333333;0.466666667;0.066666667;0.133333333;0.133333333;0.133333333;0.133333333;0.133333333;0.066666667;0;0;Indica;0.38;0;0;0.136666667;0;0;0.1;NA;1.336666667;NA;19.1;0.513333333;0.02;0.406666667;0.113333333;0.1;0.14;0.123333333;0.006666667;NA;NA;NA;NA;NA;0.02;NA;0.036666667;NA;NA;NA;NA;NA;NA
60;fruit-punch;0;0.016393443;0;0.229508197;0;0.032786885;0;0;0;0;0.163934426;0;0;0.032786885;0.06557377;0.081967213;0.032786885;0;0.032786885;0.049180328;0.032786885;0.081967213;0;0.016393443;0;0.049180328;0.049180328;0.016393443;0;0.114754098;0.049180328;0.016393443;0.049180328;0;0;0.032786885;0.032786885;0.06557377;0.213114754;0;0;0;0.081967213;0.655737705;0.163934426;0;0;0.016393443;Sativa;0.105263158;0.473684211;0.526315789;0.631578947;0.289473684;0.210526316;0.789473684;0.157894737;0.5;0.052631579;0.289473684;0.210526316;0.736842105;0.105263158;0.052631579;0.078947368;0.236842105;0.026315789;0.052631579;Sativa;0.52;0.01;0.01;0.39;0.01;0.01;0.37;0.01;1.5;23.51;NA;0.49;NA;0.64;0.08;NA;0.05;NA;0.03;NA;NA;0.03;NA;NA;NA;NA;0.04;0.57;NA;NA;NA;0.02;0.26
61;fruity-chronic-juice;0;0.047619048;0;0;0;0;0;0;0;0;0.285714286;0;0;0.047619048;0.047619048;0.19047619;0.19047619;0;0;0;0;0;0;0;0;0.047619048;0;0;0;0.047619048;0;0;0.047619048;0;0;0;0.047619048;0;0.095238095;0;0;0;0;0.619047619;0.047619048;0;0;0.047619048;Indica;0;0.461538462;0.307692308;0.615384615;0.230769231;0.076923077;0.692307692;0.307692308;0.692307692;0.076923077;0.461538462;0.153846154;0.307692308;0.153846154;0.076923077;0.307692308;0.384615385;0;0;Indica;19.3;0;0.11;0.51;0.2;0;NA;NA;NA;NA;NA;0.01;NA;0.55;0.07;NA;0.27;0.06;NA;NA;NA;NA;NA;NA;NA;NA;0.03;NA;NA;NA;NA;NA;NA
